114439718608568_382522	@Shakiya I agreeeeeeeeee
114439718608568_388831	aaaaaaaaaaa nooooooooooooooooooooo
114439718608568_393220	haaaaaaaaaaa
114439718608568_421892	So cool
114439718608568_590809	510! whoooo! :)
128373800539579_804102	Whaaaaaaaaaaaaaaaaaaaaaat?!
128373800539579_804112	O.o Whaaaaaaaaaaaaaat!?
128373800539579_804295	MINION MAMBO!!!!!
128373800539579_805070	WWWWWWWWWWWHHHHHHHHHHHhaaaaaaaaaaaaaatttttttt?
128373800539579_806741	Me encanto , buenisiiiiiimaaaa
128373800539579_807415	coooooooooool
128373800539579_833196	add me! XXOOXOXOXOXOOXOOXOXX (:
128373800539579_833250	add me! XXOOXOXOXOXOOXOOXOXX (:
144774822206152_1156268	add me::]
144774822206152_1156491	nooooooooooooooooooooooo not my ihop nooooooooooo!!!!!!!!!!!!!!!!!!!!!!
144774822206152_1157702	wish we had an IHOP!
112199138831567_313267	it soo gay lol jk
112199138831567_313578	yay yay yay yay
112199138831567_318598	AND 200!!!! boo ya
112199138831567_320061	awwwwwww
141707332521677_1105400	haha i will
138296222866138_1037789	i wish i had food
138296222866138_1042005	haha WE LAUGHED SO HARD USING THE MINIONATOR
413476945162_13255535	GO WATCH THE MOVIE!!! IT'LL MAKE YOUR DAY!!
125379754172071_704157	SOOOOOOOOOO WANNNA GO N SEE DIZ MOVIE!!!!!!!!!!!!!!!
125379754172071_704463	can I get a fart ray?? hahahaha
122085471170226_600896	gossh i want to see it soo bad!!!!!!!
122085471170226_601063	i just watched it..hahahahaha soooo funny!
122085471170226_651174	omg hahahaha i used it and they are so funny!
131308593573389_882717	im sooooooooooo excited! FLUFFFFYYYYYY!
131308593573389_883128	i wanna wanna mariijuanna c it so bad!!!
141487362533976_1074063	Oooooouuuu C8
127850713923060_780192	its soooooo flufy...!!!! lol...loooove it wanna see it sooooooooo bad...
127850713923060_780295	ooooo
411696482591_2689200	ha ha 
411696482591_2689216	hahahaa. :)
411696482591_2689224	AWSOME!!
411696482591_2689228	hahahahahhahah
411696482591_2689249	SEXY haha :)
411696482591_2689609	so......................cooool 
411696482591_2820745	ya so funny and i meet them hahaha
411696482591_4442506	y so mad
411696482591_4795614	haha he is lucky
411696482591_6203526	ha ha
411696482591_7696836	wau
411696222591_2689184	ha!
411696222591_2689186	haha
411696222591_2689191	HAWWWT :D haha
411696222591_2689211	Haha. Cute
411696222591_2689975	hahahaha this is too funny!!!!
411696222591_2690110	Hahaa! LOL xD
411696222591_2692582	LMAO U CAN SAY THAT AGAIN....
411696222591_2694005	Ha Ha hA Ha ha!
411696222591_2725208	i am sooo jealous
411696222591_2772491	Hahahahah
411696222591_2781274	hahahahaha
411696222591_3621333	cute and flufyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
411696222591_4063574	hahaha
411696222591_4898063	ADORABLE!!
411696222591_6203528	ha ha
411696222591_6315841	ha
411696222591_6326586	Haha
411696222591_7088472	ha funny
411696222591_8200965	haha
411696222591_8604874	haha real funny
411696222591_9852908	haha
141524869197121_1071603	haha ITS SO FLUFFY!!!!!
138589929500399_1001412	its so fluffy im gonna die :O hahaha
138589929500399_1001786	Want to go sooo bad...
138589929500399_1008252	okay, dude!
124941914215106_685757	wat
849804892055_1998102	cooooooooooool 
849804892055_1998185	Love Dispicable Me!!! ahahahhaha.
849804892055_1999019	i soooo lol'd
849804892055_2006700	haha
849804892055_2053837	whaaat...!
849804892055_2076439	whaaaaaaaaaaaaa  funny
849804892055_2172618	i am  aleyah
849804892055_14098632	cabulababut
849804892055_14312592	haw u do that
136388736389195_969170	wooo hooo!!!!!!!
136388736389195_969664	you are soooooo lucky
135643283131762_947909	soo funny
135643283131762_973041	YEHHHH! MIRANDA COSGROVE!!! YEAHHHHH!
140938119256387_1071457	24th hahaha
