419551477591_2818252	IT'S SO FLUFFAAAAY !!! (deep voice)
419551477591_2818333	Add meee ! :D
419551477591_2818714	never seen it!lol
419551477591_2818883	believe it or not i havent even seen the movie!
419551477591_2820318	its sooooo fluffffieeeeeeeeee
419551477591_2820326	its sooooo fluffy im gonnns dieeeeee !
419551477591_2820467	Its sooo FLUFFY!! im gonna die!
419551477591_2820612	Its sooo FLUFFY... Im gona die!
419551477591_2820685	I Lovvveeee That MOvie!!
419551477591_2822296	haven't seen yet
419551477591_2822669	"I'm gonna die! It's soooo FUZZY!!!"
419551477591_7007048	IT's SOOOOOOOOO FLUFFY!!!!!! Can we get it PLEASE
114439718608568_382447	3rd
114439718608568_382452	This movie is awesoommeeeee!!!!!
114439718608568_388029	i havent seen it yet :(
128373800539579_804110	Oh poop.
128373800539579_804120	Love Despicable Me!!! Whaaaaaaaaaaaaat?
128373800539579_804137	He's soooooo fluffffyyyyy im gonna dieeeeeee :P
112199138831567_313276	Best movie ever
112199138831567_314054	seen it at home great movie 
112199138831567_330093	It doesn't work!!!
141707332521677_1105420	Good movie.
138296222866138_1028081	3rd!
138296222866138_1028114	it did work.............
138296222866138_1028492	best movie evur
138296222866138_1028631	Doesn't work w/BB :(
138296222866138_1034487	it doesnt work very well
125379754172071_703837	Its soo FLUFFY! :D <3Seeing it next week
125379754172071_703928	i soooooooooooo want 2 see despicable me!!!!!!!!
125379754172071_709906	hello
125379754172071_722459	sweet
142312399112617_1091029	wwhhhaaatttt!!!
131308593573389_882771	sweet i lllloooooooooovvvvvvvvvvveeeeeeeeeeeeeee this movie
131308593573389_883169	very cute movie....even in 2-d
411696482591_2740961	tee hee
411696222591_2689464	i want 1!
411696222591_2691651	flippin sweet ! 
411696222591_2822316	russel brand <333333333 *drool*
141524869197121_1071461	Freeman*
138589929500399_1001871	3d is stubbed
849804892055_14098635	:poop:
849804892055_14221025	:poop:
849804892055_14243634	:poop:
849804892055_14306745	:poop:
849804892055_14307936	:poop:
849804892055_14312589	;poop;
849804892055_14312591	[poop]
849804892055_14312599	:poop:
849804892055_14319248	:poop:
849804892055_14394999	:poop: ?
849804892055_14457139	:poop:
849804892055_14568451	:poop:
849804892055_14670407	:poop:
135643283131762_948260	i want 2 see it
140938119256387_1071390	3rd
140938119256387_1071391	3rd
140938119256387_1071399	3rd
849101327005_3058626	i loveeeeeeeeeee it!
849101327005_3387856	<3 best movie :D
106640889386474_167484	sweet!!!!
106640889386474_167730	seen it...best movie ever
123132391062650_640156	woohooo! awesome movie i bet!
109126755803200_226487	haven't seen yet,
407215145162_25225908	yes i went to kindergarden
407215145162_25388523	:poop:
406762075162_13135721	its good
406762075162_13139792	Deeeeeeeeeeeeeeespicable Meeeeeeeeeeeee
406475065162_13144529	ooohh in 3D   wheeee
406884592591_2617623	did u get 1
406884592591_2618013	ooo- I want one!
131327496892016_831502	i wanna see it in 3d
405072325162_13101025	sweet.!
112729932106834_389462	dont work
112729932106834_454005	does it work for verizon?
132035606823341_808030	Freeze ray!
403027025162_13059823	ok...got to see it...
403027025162_13059837	CheeeaH!
123620407677163_651343	meee 2!
397448250162_12988812	"Freeze Ray! Hahaha!" "Freeze Ray! Oops!"
107762955931896_233495	Go Green
381855535162_24602512	Poop
381855535162_25254709	Dope!
402168047024_13284101	tee hee
329900217591_11561794	INdeed, http://dot-me.of-cour.se/2009/07/29/despicable-me/
312460927351_11221984	Moo
298442147547_11209777	heh heh heh
221512542591_3530745	best movie ever ;)
